Articulo,Descripcion,Rubro,CON EL 20%,Stock,img
2-005,"BSTE X 6 CINTA DE EMBALAR TRANSPARENRTE 4,8 * 100M",FERRETERIA,"$14,542.32",20,
1-027-2,BUSCAPOLO CORRIENTE ALTERNA,ELECTRICIDAD,"$1,443.20",20,
2-031-BE,BUSCAPOLO ECO,ELECTRICIDAD,$370.83,20,
2-027,BUSCAPOLO ENGOMADO REFORZADO,FERRETERIA,"$1,731.91",20,
1-033,CAJA CABLE CANAL DE PVC EXTERIOR,ELECTRICIDAD,$542.25,20,
1-034,CAJA DE PASO CIRCULAR 9 X 5 CM,ELECTRICIDAD,$364.63,20,
1-035,CAJA DE PASO DE PVC 115X115X55,ELECTRICIDAD,"$1,504.35",20,
1-036,CAJA DE PASO DE PVC 115X115X75,ELECTRICIDAD,"$1,865.97",20,
1-037,CAJA DE PASO DE PVC 90X90X55,ELECTRICIDAD,"$1,240.97",20,
1-038,CAJA DE PASO DE PVC 90X90X75,ELECTRICIDAD,"$1,460.13",20,
1-039,CAJA METALICA CUADRADA GRANDE 10 X 10,ELECTRICIDAD,$856.53,20,
1-040,CAJA METALICA MIGNON,ELECTRICIDAD,$312.96,20,
1-041,CAJA METALICA OCTOGONAL CHICA,ELECTRICIDAD,$312.96,20,
1-042,CAJA METALICA OCTOGONAL GRANDE,ELECTRICIDAD,$691.81,20,
1-043,CAJA METALICA RECTANGULAR CHICA,ELECTRICIDAD,$329.10,20,
S-050-CRB,CAJA NORMALIZADA CUADRADA BLANCA,ELECTRICIDAD,"$1,391.56",20,
S-050-CRB,CAJA NORMALIZADA MIGNON BLANCA,ELECTRICIDAD,$419.64,20,
S-050-CRB,CAJA NORMALIZADA OCTOGONAL CHICA BLANCA,ELECTRICIDAD,$447.62,20,
S-050-CRB,CAJA NORMALIZADA OCTOGONAL GRANDE BLANCA,ELECTRICIDAD,$980.97,20,
S-050-COB,CAJA NORMALIZADA RECTANGULAR BLANCA,ELECTRICIDAD,$469.94,20,
1-044,CAJA P/TERMICA DE PVC 1 A 2 BOCAS,ELECTRICIDAD,$864.44,20,
1-045,CAJA P/TERMICA DE PVC 2 A 4 BOCAS,ELECTRICIDAD,"$1,459.73",20,
1-046,CAJA P/TERMICA DE PVC 4 A 8 BOCAS,ELECTRICIDAD,"$2,679.08",20,
1-047,CAJA P/TERMICA DE PVC 8 A 12 BOCAS,ELECTRICIDAD,"$4,454.23",20,
1-049-B,"CAJA PVC 3/4 A 1"" MIGNION NEGRAS",ELECTRICIDAD,$261.96,20,
1-049-B,CAJA PVC MIGNION NEGRAS,ELECTRICIDAD,$288.56,20,
1-048,"CAJAS PVC 3/4 A 1""  OCTOGONAL BLANCAS",ELECTRICIDAD,$281.05,20,
1-049,"CAJAS PVC 3/4 A 1""  OCTOGONAL NEGRAS",ELECTRICIDAD,$258.56,20,
1-050,"CAJAS PVC 3/4 A 1""  RECTANGULAR BLANCAS",ELECTRICIDAD,$281.05,20,
