
Articulo,Descripcion,Rubro,CON EL 20%
1-018-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR BLANCO 1,5",ELECTRICIDAD,"$ 141,352.03"
1-019-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR BLANCO 2,5",ELECTRICIDAD,"$ 210,143.36"
1-020-B,BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR BLANCO 4,ELECTRICIDAD,"$ 364,688.26"
1-016-CB,BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR CELESTE 1.5,ELECTRICIDAD,"$ 141,352.03"
1-016-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR CELESTE 2,5",ELECTRICIDAD,"$ 210,143.36"
1-017-B,BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR CELESTE 4,ELECTRICIDAD,"$ 364,688.26"
1-021-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR MARRON 1,5",ELECTRICIDAD,"$ 141,352.03"
1-022-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR MARRON 2,5",ELECTRICIDAD,"$ 210,143.36"
1-023-B,BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR MARRON 4,ELECTRICIDAD,"$ 364,688.26"
1-024-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR NEGRO 1,5",ELECTRICIDAD,"$ 141,352.03"
1-025-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR NEGRO 2,5",ELECTRICIDAD,"$ 210,143.36"
1-026-B,BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR NEGRO 4,ELECTRICIDAD,"$ 364,688.26"
1-027-B,"BOBINA 500 MTS REFLEX  CABLE DE COBRE UNIPOLAR ROJO 1,5",ELECTRICIDAD,"$ 141,352.03"
